file	avg_length	median_length	TTR	H
basque_full.txt	5.66944875459371	5	0.081140601606098	11.5753890033021
eng_full.txt	4.28695475897029	4	0.042052256579332	10.1913278928748
finnish_full.txt	6.25399958894659	6	0.148645552834109	12.7409490156823
french_full.txt	4.56006469323913	4	0.063400125430777	10.6204301945056
german_full.txt	4.99079334332584	4	0.081193089767112	10.9030406649305
greek_modern_full.txt	4.81029274077773	4	0.104049684788715	11.337995812619
hebrew_modern_full.txt	3.92969053966894	4	0.096550004308578	11.8018277209334
hindi_full.txt	3.70505169077353	3	0.041502548218572	10.4638297241089
indonesian_full.txt	5.74181173929148	5	0.034242406189535	10.2914839998415
japanese_full.txt	1.61524796125323	1	0.033459583682705	9.85618898530763
korean_full.txt	2.89796896239239	3	0.182583824195741	14.0266875237082
mandarin_full.txt	1.58056377899629	1	0.05417651646087	11.9897146058628
persian_full.txt	3.86476288044725	4	0.069419106714792	11.4208825294703
russian_full.txt	4.77505002990215	4	0.101804890874192	11.4701585792274
spanish_full.txt	4.50502901699354	4	0.05827921788042	10.276732753466
tagalog_full.txt	4.77829516035056	4	0.074463445840016	10.0040178913921
thai_full.txt	11.7753482963026	11	0.695476738656534	16.0731917208084
turkish_full.txt	5.87704483248817	5	0.123549256328107	12.5143080125701
vietnamese_full.txt	2.05998967460269	2	0.052276558623143	9.70005575173045
